,date,action,ticker,name,contraticker,contraname,note
0,2020-12-31,historical,ZTS,Zoetis Inc,,,
1,2020-12-31,current,ZTS,Zoetis Inc,,,
2,2020-12-31,historical,ZION,Zions Bancorporation National Association,,,
3,2020-12-31,current,ZION,Zions Bancorporation National Association,,,
4,2020-12-31,historical,ZBRA,Zebra Technologies Corp,,,
5,2020-12-31,current,ZBRA,Zebra Technologies Corp,,,
6,2020-12-31,historical,ZBH,Zimmer Biomet Holdings Inc,,,
7,2020-12-31,current,ZBH,Zimmer Biomet Holdings Inc,,,
8,2020-12-31,historical,YUM,Yum Brands Inc,,,
9,2020-12-31,current,YUM,Yum Brands Inc,,,
10,2020-12-31,historical,XYL,Xylem Inc,,,
11,2020-12-31,current,XYL,Xylem Inc,,,
12,2020-12-31,historical,XRX,Xerox Holdings Corp,,,
13,2020-12-31,current,XRX,Xerox Holdings Corp,,,
14,2020-12-31,historical,XRAY,DENTSPLY SIRONA Inc,,,
15,2020-12-31,current,XRAY,DENTSPLY SIRONA Inc,,,
16,2020-12-31,historical,XOM,Exxon Mobil Corp,,,
17,2020-12-31,current,XOM,Exxon Mobil Corp,,,
18,2020-12-31,historical,XLNX,Xilinx Inc,,,
19,2020-12-31,current,XLNX,Xilinx Inc,,,
20,2020-12-31,historical,XEL,Xcel Energy Inc,,,
21,2020-12-31,current,XEL,Xcel Energy Inc,,,
22,2020-12-31,historical,WYNN,Wynn Resorts Ltd,,,
23,2020-12-31,current,WYNN,Wynn Resorts Ltd,,,
24,2020-12-31,historical,WY,Weyerhaeuser Co,,,
25,2020-12-31,current,WY,Weyerhaeuser Co,,,
26,2020-12-31,historical,WU,Western Union CO,,,
27,2020-12-31,current,WU,Western Union CO,,,
28,2020-12-31,historical,WST,West Pharmaceutical Services Inc,,,
29,2020-12-31,current,WST,West Pharmaceutical Services Inc,,,
30,2020-12-31,historical,WRK,WestRock Co,,,
31,2020-12-31,current,WRK,WestRock Co,,,
32,2020-12-31,historical,WRB,Berkley W R Corp,,,
33,2020-12-31,current,WRB,Berkley W R Corp,,,
34,2020-12-31,historical,WMT,Walmart Inc,,,
35,2020-12-31,current,WMT,Walmart Inc,,,
36,2020-12-31,historical,WMB,Williams Companies Inc,,,
37,2020-12-31,current,WMB,Williams Companies Inc,,,
38,2020-12-31,historical,WM,Waste Management Inc,,,
39,2020-12-31,current,WM,Waste Management Inc,,,
40,2020-12-31,historical,WLTW,Willis Towers Watson Plc,,,
41,2020-12-31,current,WLTW,Willis Towers Watson Plc,,,
42,2020-12-31,historical,WHR,Whirlpool Corp,,,
43,2020-12-31,current,WHR,Whirlpool Corp,,,
44,2020-12-31,historical,WFC,Wells Fargo & Company,,,
45,2020-12-31,current,WFC,Wells Fargo & Company,,,
46,2020-12-31,historical,WELL,Welltower Inc,,,
47,2020-12-31,current,WELL,Welltower Inc,,,
48,2020-12-31,historical,WEC,Wec Energy Group Inc,,,
49,2020-12-31,current,WEC,Wec Energy Group Inc,,,
50,2020-12-31,historical,WDC,Western Digital Corp,,,
51,2020-12-31,current,WDC,Western Digital Corp,,,
52,2020-12-31,historical,WBA,Walgreens Boots Alliance Inc,,,
53,2020-12-31,current,WBA,Walgreens Boots Alliance Inc,,,
54,2020-12-31,historical,WAT,Waters Corp,,,
55,2020-12-31,current,WAT,Waters Corp,,,
56,2020-12-31,historical,WAB,Westinghouse Air Brake Technologies Corp,,,
57,2020-12-31,current,WAB,Westinghouse Air Brake Technologies Corp,,,
58,2020-12-31,historical,VZ,Verizon Communications Inc,,,
59,2020-12-31,current,VZ,Verizon Communications Inc,,,
60,2020-12-31,historical,VTRS,Viatris Inc,,,
61,2020-12-31,current,VTRS,Viatris Inc,,,
62,2020-12-31,historical,VTR,Ventas Inc,,,
63,2020-12-31,current,VTR,Ventas Inc,,,
64,2020-12-31,historical,VRTX,Vertex Pharmaceuticals Inc,,,
65,2020-12-31,current,VRTX,Vertex Pharmaceuticals Inc,,,
66,2020-12-31,historical,VRSN,Verisign Inc,,,
67,2020-12-31,current,VRSN,Verisign Inc,,,
68,2020-12-31,historical,VRSK,Verisk Analytics Inc,,,
69,2020-12-31,current,VRSK,Verisk Analytics Inc,,,
70,2020-12-31,historical,VNT,Vontier Corp,,,
71,2020-12-31,current,VNT,Vontier Corp,,,
72,2020-12-31,historical,VNO,Vornado Realty Trust,,,
73,2020-12-31,current,VNO,Vornado Realty Trust,,,
74,2020-12-31,historical,VMC,Vulcan Materials CO,,,
75,2020-12-31,current,VMC,Vulcan Materials CO,,,
76,2020-12-31,historical,VLO,Valero Energy Corp,,,
77,2020-12-31,current,VLO,Valero Energy Corp,,,
78,2020-12-31,historical,VIAC,ViacomCBS Inc,,,
79,2020-12-31,current,VIAC,ViacomCBS Inc,,,
80,2020-12-31,historical,VFC,V F Corp,,,
81,2020-12-31,current,VFC,V F Corp,,,
82,2020-12-31,historical,VAR,Varian Medical Systems Inc,,,
83,2020-12-31,current,VAR,Varian Medical Systems Inc,,,
84,2020-12-31,historical,V,Visa Inc,,,
85,2020-12-31,current,V,Visa Inc,,,
86,2020-12-31,historical,USB,Us Bancorp,,,
87,2020-12-31,current,USB,Us Bancorp,,,
88,2020-12-31,historical,URI,United Rentals Inc,,,
89,2020-12-31,current,URI,United Rentals Inc,,,
90,2020-12-31,historical,UPS,United Parcel Service Inc,,,
91,2020-12-31,current,UPS,United Parcel Service Inc,,,
92,2020-12-31,historical,UNP,Union Pacific Corp,,,
93,2020-12-31,current,UNP,Union Pacific Corp,,,
94,2020-12-31,historical,UNM,Unum Group,,,
95,2020-12-31,current,UNM,Unum Group,,,
96,2020-12-31,historical,UNH,Unitedhealth Group Inc,,,
97,2020-12-31,current,UNH,Unitedhealth Group Inc,,,
98,2020-12-31,historical,ULTA,Ulta Beauty Inc,,,
99,2020-12-31,current,ULTA,Ulta Beauty Inc,,,
100,2020-12-31,historical,UHS,Universal Health Services Inc,,,
101,2020-12-31,current,UHS,Universal Health Services Inc,,,
102,2020-12-31,historical,UDR,UDR Inc,,,
103,2020-12-31,current,UDR,UDR Inc,,,
104,2020-12-31,historical,UAL,United Airlines Holdings Inc,,,
105,2020-12-31,current,UAL,United Airlines Holdings Inc,,,
106,2020-12-31,historical,UAA,Under Armour Inc,,,
107,2020-12-31,current,UAA,Under Armour Inc,,,
108,2020-12-31,historical,UA,Under Armour Inc,,,
109,2020-12-31,current,UA,Under Armour Inc,,,
110,2020-12-31,historical,TYL,Tyler Technologies Inc,,,
111,2020-12-31,current,TYL,Tyler Technologies Inc,,,
112,2020-12-31,historical,TXT,Textron Inc,,,
113,2020-12-31,current,TXT,Textron Inc,,,
114,2020-12-31,historical,TXN,Texas Instruments Inc,,,
115,2020-12-31,current,TXN,Texas Instruments Inc,,,
116,2020-12-31,historical,TWTR,Twitter Inc,,,
117,2020-12-31,current,TWTR,Twitter Inc,,,
118,2020-12-31,historical,TTWO,Take Two Interactive Software Inc,,,
119,2020-12-31,current,TTWO,Take Two Interactive Software Inc,,,
120,2020-12-31,historical,TT,Trane Technologies plc,,,
121,2020-12-31,current,TT,Trane Technologies plc,,,
122,2020-12-31,historical,TSN,Tyson Foods Inc,,,
123,2020-12-31,current,TSN,Tyson Foods Inc,,,
124,2020-12-31,historical,TSLA,Tesla Inc,,,
125,2020-12-31,current,TSLA,Tesla Inc,,,
126,2020-12-31,historical,TSCO,Tractor Supply Co,,,
127,2020-12-31,current,TSCO,Tractor Supply Co,,,
128,2020-12-31,historical,TRV,Travelers Companies Inc,,,
129,2020-12-31,current,TRV,Travelers Companies Inc,,,
130,2020-12-31,historical,TROW,Price T Rowe Group Inc,,,
131,2020-12-31,current,TROW,Price T Rowe Group Inc,,,
132,2020-12-31,historical,TPR,Tapestry Inc,,,
133,2020-12-31,current,TPR,Tapestry Inc,,,
134,2020-12-31,historical,TMUS,T-Mobile US Inc,,,
135,2020-12-31,current,TMUS,T-Mobile US Inc,,,
136,2020-12-31,historical,TMO,Thermo Fisher Scientific Inc,,,
137,2020-12-31,current,TMO,Thermo Fisher Scientific Inc,,,
138,2020-12-31,historical,TJX,Tjx Companies Inc,,,
139,2020-12-31,current,TJX,Tjx Companies Inc,,,
140,2020-12-31,historical,TIF,Tiffany & Co,,,
141,2020-12-31,current,TIF,Tiffany & Co,,,
142,2020-12-31,historical,TGT,Target Corp,,,
143,2020-12-31,current,TGT,Target Corp,,,
144,2020-12-31,historical,TFX,Teleflex Inc,,,
145,2020-12-31,current,TFX,Teleflex Inc,,,
146,2020-12-31,historical,TFC,Truist Financial Corp,,,
147,2020-12-31,current,TFC,Truist Financial Corp,,,
148,2020-12-31,historical,TER,Teradyne Inc,,,
149,2020-12-31,current,TER,Teradyne Inc,,,
150,2020-12-31,historical,TEL,TE Connectivity Ltd,,,
151,2020-12-31,current,TEL,TE Connectivity Ltd,,,
152,2020-12-31,historical,TDY,Teledyne Technologies Inc,,,
153,2020-12-31,current,TDY,Teledyne Technologies Inc,,,
154,2020-12-31,historical,TDG,TransDigm Group INC,,,
155,2020-12-31,current,TDG,TransDigm Group INC,,,
156,2020-12-31,historical,TAP,Molson Coors Beverage Co,,,
157,2020-12-31,current,TAP,Molson Coors Beverage Co,,,
158,2020-12-31,historical,T,At&T Inc,,,
159,2020-12-31,current,T,At&T Inc,,,
160,2020-12-31,historical,SYY,Sysco Corp,,,
161,2020-12-31,current,SYY,Sysco Corp,,,
162,2020-12-31,historical,SYK,Stryker Corp,,,
163,2020-12-31,current,SYK,Stryker Corp,,,
164,2020-12-31,historical,SYF,Synchrony Financial,,,
165,2020-12-31,current,SYF,Synchrony Financial,,,
166,2020-12-31,historical,SWKS,Skyworks Solutions Inc,,,
167,2020-12-31,current,SWKS,Skyworks Solutions Inc,,,
168,2020-12-31,historical,SWK,Stanley Black & Decker Inc,,,
169,2020-12-31,current,SWK,Stanley Black & Decker Inc,,,
170,2020-12-31,historical,STZ,Constellation Brands Inc,,,
171,2020-12-31,current,STZ,Constellation Brands Inc,,,
172,2020-12-31,historical,STX,Seagate Technology plc,,,
173,2020-12-31,current,STX,Seagate Technology plc,,,
174,2020-12-31,historical,STT,State Street Corp,,,
175,2020-12-31,current,STT,State Street Corp,,,
176,2020-12-31,historical,STE,STERIS plc,,,
177,2020-12-31,current,STE,STERIS plc,,,
178,2020-12-31,historical,SRE,Sempra Energy,,,
179,2020-12-31,current,SRE,Sempra Energy,,,
180,2020-12-31,historical,SPGI,S&P Global Inc,,,
181,2020-12-31,current,SPGI,S&P Global Inc,,,
182,2020-12-31,historical,SPG,Simon Property Group Inc,,,
183,2020-12-31,current,SPG,Simon Property Group Inc,,,
